配送中心或需求点ID,时间,对接车辆数
10,17:33:0,5
10,17:34:0,5
10,17:35:0,5
10,17:36:0,5
10,17:37:0,5
10,17:38:0,5
10,17:39:0,5
10,17:40:0,4
10,17:41:0,4
10,17:42:0,4
10,17:43:0,4
10,17:44:0,4
10,17:45:0,4
10,17:46:0,6
10,17:47:0,6
10,17:48:0,6
10,17:49:0,6
10,17:50:0,7
10,17:51:0,7
10,17:52:0,7
10,17:53:0,7
10,17:54:0,7
10,17:55:0,7
10,17:56:0,7
10,17:57:0,7
10,17:58:0,7
10,17:59:0,7
10,18:0:0,7
10,18:1:0,7
10,18:2:0,7
10,18:3:0,7
10,18:4:0,8
10,18:5:0,8
10,18:6:0,8
10,18:7:0,8
10,18:8:0,8
10,18:9:0,8
10,18:10:0,6
10,18:11:0,3
10,18:12:0,3
10,18:13:0,3
10,18:14:0,2
10,18:15:0,2
10,18:16:0,2
10,18:17:0,1
10,18:18:0,1
10,18:19:0,1
10,18:20:0,1
10,18:21:0,1
10,18:22:0,1
10,18:23:0,1
10,18:24:0,1
10,18:25:0,1
10,18:26:0,1
10,18:27:0,1
10,18:28:0,1
11,14:0:0,1
11,14:1:0,4
11,14:2:0,5
11,14:3:0,5
11,14:4:0,6
11,14:5:0,6
11,14:6:0,6
11,14:7:0,7
11,14:8:0,5
11,14:9:0,4
11,14:10:0,3
11,14:11:0,3
11,14:12:0,2
11,14:13:0,2
11,14:49:0,1
11,14:50:0,10
11,14:51:0,13
11,14:52:0,13
11,14:53:0,13
11,14:54:0,13
11,14:55:0,13
11,14:56:0,13
11,14:57:0,13
11,14:58:0,13
11,14:59:0,13
11,15:0:0,13
11,15:1:0,13
11,15:2:0,12
11,15:3:0,3
11,15:23:0,1
11,15:24:0,1
11,15:25:0,1
11,15:26:0,1
11,15:27:0,1
11,15:28:0,1
11,15:29:0,1
11,15:30:0,1
11,15:31:0,1
11,15:32:0,1
11,15:33:0,1
11,15:34:0,1
11,15:35:0,1
11,15:36:0,1
11,15:38:0,1
11,15:39:0,1
11,15:40:0,1
11,15:41:0,1
11,15:42:0,1
11,15:43:0,1
11,15:44:0,1
11,15:45:0,1
11,15:46:0,1
11,15:47:0,2
11,15:48:0,2
11,15:49:0,2
11,15:50:0,2
11,15:51:0,2
11,15:52:0,2
11,15:53:0,4
11,15:54:0,5
11,15:55:0,5
11,15:56:0,5
11,15:57:0,5
11,15:58:0,5
11,15:59:0,5
11,16:0:0,5
11,16:1:0,4
11,16:2:0,4
11,16:3:0,4
11,16:4:0,4
11,16:5:0,4
11,16:6:0,4
11,16:7:0,4
11,16:8:0,4
11,16:9:0,4
11,16:10:0,4
11,16:11:0,3
11,16:12:0,1
11,16:19:0,1
11,16:20:0,1
11,16:21:0,1
11,16:22:0,1
11,16:23:0,5
11,16:24:0,9
11,16:25:0,9
11,16:26:0,9
11,16:27:0,9
11,16:28:0,10
11,16:29:0,15
11,16:30:0,18
11,16:31:0,18
11,16:32:0,19
11,16:33:0,19
11,16:34:0,19
11,16:35:0,19
11,16:36:0,19
11,16:37:0,19
11,16:38:0,18
11,16:39:0,18
11,16:40:0,18
11,16:41:0,17
11,16:42:0,14
11,16:43:0,10
11,16:44:0,10
11,16:45:0,10
11,16:46:0,10
11,16:47:0,10
11,16:48:0,10
11,16:49:0,10
11,16:50:0,10
11,16:51:0,10
11,16:52:0,10
11,16:53:0,9
11,16:54:0,4
11,16:55:0,1
11,16:56:0,1
11,16:59:0,1
11,17:0:0,2
11,17:1:0,2
11,17:2:0,2
11,17:3:0,2
11,17:4:0,2
11,17:5:0,2
11,17:6:0,2
11,17:7:0,2
11,17:8:0,2
11,17:9:0,2
11,17:10:0,2
11,17:11:0,2
11,17:12:0,2
11,17:13:0,2
11,17:14:0,2
11,17:15:0,2
11,17:16:0,2
11,17:17:0,2
11,17:18:0,2
11,17:19:0,2
11,17:20:0,2
11,17:21:0,2
11,17:22:0,2
11,17:23:0,2
11,17:24:0,1
11,17:25:0,1
11,17:26:0,1
11,17:27:0,1
